
 epoch:1, train_loss:1.7575, acc:0.6465, acc_cls:0.0477, mean_iu:0.0310, fwavacc:0.4190
 epoch:1, val_loss:1.5973, acc:0.6393, acc_cls:0.0476, mean_iu:0.0304, fwavacc:0.4087
 epoch:2, train_loss:1.5492, acc:0.6448, acc_cls:0.0484, mean_iu:0.0316, fwavacc:0.4174
 epoch:2, val_loss:1.4848, acc:0.6375, acc_cls:0.0476, mean_iu:0.0304, fwavacc:0.4064
 epoch:3, train_loss:1.5005, acc:0.6429, acc_cls:0.0511, mean_iu:0.0344, fwavacc:0.4213
 epoch:3, val_loss:1.5166, acc:0.6347, acc_cls:0.0479, mean_iu:0.0305, fwavacc:0.4028
 epoch:4, train_loss:1.4654, acc:0.6412, acc_cls:0.0551, mean_iu:0.0380, fwavacc:0.4239
 epoch:4, val_loss:1.5418, acc:0.6226, acc_cls:0.0489, mean_iu:0.0309, fwavacc:0.3879
 epoch:5, train_loss:1.4238, acc:0.6460, acc_cls:0.0621, mean_iu:0.0436, fwavacc:0.4353
 epoch:5, val_loss:1.3955, acc:0.6338, acc_cls:0.0526, mean_iu:0.0351, fwavacc:0.4065
 epoch:6, train_loss:1.3562, acc:0.6493, acc_cls:0.0744, mean_iu:0.0529, fwavacc:0.4467
 epoch:6, val_loss:1.3883, acc:0.6367, acc_cls:0.0596, mean_iu:0.0395, fwavacc:0.4130
 epoch:7, train_loss:1.3272, acc:0.6521, acc_cls:0.0823, mean_iu:0.0583, fwavacc:0.4529
 epoch:7, val_loss:1.4042, acc:0.6364, acc_cls:0.0724, mean_iu:0.0471, fwavacc:0.4279
 epoch:8, train_loss:1.3000, acc:0.6548, acc_cls:0.0897, mean_iu:0.0635, fwavacc:0.4594
 epoch:8, val_loss:1.3629, acc:0.6317, acc_cls:0.0614, mean_iu:0.0427, fwavacc:0.4050
 epoch:9, train_loss:1.2702, acc:0.6646, acc_cls:0.0925, mean_iu:0.0655, fwavacc:0.4698
 epoch:9, val_loss:1.2911, acc:0.6478, acc_cls:0.0905, mean_iu:0.0611, fwavacc:0.4464
 epoch:10, train_loss:1.2561, acc:0.6653, acc_cls:0.1032, mean_iu:0.0740, fwavacc:0.4725
 epoch:10, val_loss:1.3300, acc:0.6244, acc_cls:0.1223, mean_iu:0.0744, fwavacc:0.4465
 epoch:11, train_loss:1.1410, acc:0.6845, acc_cls:0.1337, mean_iu:0.0945, fwavacc:0.5009
 epoch:11, val_loss:1.1910, acc:0.6576, acc_cls:0.1475, mean_iu:0.0961, fwavacc:0.4761
 epoch:12, train_loss:1.1033, acc:0.6891, acc_cls:0.1491, mean_iu:0.1062, fwavacc:0.5103
 epoch:12, val_loss:1.1453, acc:0.6725, acc_cls:0.1419, mean_iu:0.1038, fwavacc:0.4831
 epoch:13, train_loss:1.0825, acc:0.6968, acc_cls:0.1620, mean_iu:0.1174, fwavacc:0.5213
 epoch:13, val_loss:1.1094, acc:0.6782, acc_cls:0.1613, mean_iu:0.1156, fwavacc:0.4950
 epoch:14, train_loss:1.0521, acc:0.7022, acc_cls:0.1734, mean_iu:0.1252, fwavacc:0.5301
 epoch:14, val_loss:1.1380, acc:0.6719, acc_cls:0.1533, mean_iu:0.1116, fwavacc:0.4799
 epoch:15, train_loss:1.0449, acc:0.7043, acc_cls:0.1834, mean_iu:0.1329, fwavacc:0.5330
 epoch:15, val_loss:1.1361, acc:0.6721, acc_cls:0.1580, mean_iu:0.1126, fwavacc:0.4818
 epoch:16, train_loss:1.0233, acc:0.7091, acc_cls:0.1930, mean_iu:0.1405, fwavacc:0.5401
 epoch:16, val_loss:1.1027, acc:0.6856, acc_cls:0.2008, mean_iu:0.1407, fwavacc:0.5171
 epoch:17, train_loss:1.0009, acc:0.7131, acc_cls:0.2024, mean_iu:0.1482, fwavacc:0.5462
 epoch:17, val_loss:1.1112, acc:0.6777, acc_cls:0.1700, mean_iu:0.1229, fwavacc:0.4925
 epoch:18, train_loss:0.9861, acc:0.7175, acc_cls:0.2161, mean_iu:0.1588, fwavacc:0.5522
 epoch:18, val_loss:1.1454, acc:0.6849, acc_cls:0.1763, mean_iu:0.1292, fwavacc:0.5083
 epoch:19, train_loss:0.9581, acc:0.7233, acc_cls:0.2221, mean_iu:0.1653, fwavacc:0.5599
 epoch:19, val_loss:1.0755, acc:0.6999, acc_cls:0.1854, mean_iu:0.1385, fwavacc:0.5296
 epoch:20, train_loss:0.9374, acc:0.7277, acc_cls:0.2387, mean_iu:0.1792, fwavacc:0.5665
 epoch:20, val_loss:1.1043, acc:0.6895, acc_cls:0.1944, mean_iu:0.1410, fwavacc:0.5087
 epoch:21, train_loss:0.8811, acc:0.7385, acc_cls:0.2612, mean_iu:0.1972, fwavacc:0.5797
 epoch:21, val_loss:1.0528, acc:0.6974, acc_cls:0.2262, mean_iu:0.1662, fwavacc:0.5280
 epoch:22, train_loss:0.8478, acc:0.7488, acc_cls:0.2813, mean_iu:0.2150, fwavacc:0.5950
 epoch:22, val_loss:1.0334, acc:0.7100, acc_cls:0.2208, mean_iu:0.1718, fwavacc:0.5382
 epoch:23, train_loss:0.8435, acc:0.7495, acc_cls:0.2900, mean_iu:0.2239, fwavacc:0.5961
 epoch:23, val_loss:1.0934, acc:0.6915, acc_cls:0.2233, mean_iu:0.1632, fwavacc:0.5193
 epoch:24, train_loss:0.8302, acc:0.7511, acc_cls:0.2929, mean_iu:0.2255, fwavacc:0.5993
 epoch:24, val_loss:1.0315, acc:0.7071, acc_cls:0.2373, mean_iu:0.1738, fwavacc:0.5457
 epoch:25, train_loss:0.8256, acc:0.7530, acc_cls:0.2982, mean_iu:0.2298, fwavacc:0.6024
 epoch:25, val_loss:1.0470, acc:0.7035, acc_cls:0.2332, mean_iu:0.1776, fwavacc:0.5319
 epoch:26, train_loss:0.8076, acc:0.7577, acc_cls:0.3097, mean_iu:0.2406, fwavacc:0.6077
 epoch:26, val_loss:1.0466, acc:0.7098, acc_cls:0.2374, mean_iu:0.1805, fwavacc:0.5442
 epoch:27, train_loss:0.7995, acc:0.7599, acc_cls:0.3209, mean_iu:0.2501, fwavacc:0.6109
 epoch:27, val_loss:1.0817, acc:0.7030, acc_cls:0.2240, mean_iu:0.1723, fwavacc:0.5328
 epoch:28, train_loss:0.7920, acc:0.7622, acc_cls:0.3258, mean_iu:0.2553, fwavacc:0.6142
 epoch:28, val_loss:1.0335, acc:0.7058, acc_cls:0.2307, mean_iu:0.1758, fwavacc:0.5374
 epoch:29, train_loss:0.7919, acc:0.7600, acc_cls:0.3297, mean_iu:0.2582, fwavacc:0.6114
 epoch:29, val_loss:1.0791, acc:0.7006, acc_cls:0.2410, mean_iu:0.1772, fwavacc:0.5352
 epoch:30, train_loss:0.7830, acc:0.7635, acc_cls:0.3332, mean_iu:0.2612, fwavacc:0.6174
 epoch:30, val_loss:1.0676, acc:0.7061, acc_cls:0.2221, mean_iu:0.1705, fwavacc:0.5366
 epoch:31, train_loss:0.7674, acc:0.7674, acc_cls:0.3414, mean_iu:0.2711, fwavacc:0.6206
 epoch:31, val_loss:1.0641, acc:0.7062, acc_cls:0.2533, mean_iu:0.1887, fwavacc:0.5434
 epoch:32, train_loss:0.7571, acc:0.7711, acc_cls:0.3481, mean_iu:0.2765, fwavacc:0.6263
 epoch:32, val_loss:1.0555, acc:0.7130, acc_cls:0.2437, mean_iu:0.1803, fwavacc:0.5519
