
 epoch:1, train_loss:1.5739, acc:0.6625, acc_cls:0.1387, mean_iu:0.1045, fwavacc:0.4904
 epoch:1, val_loss:1.1786, acc:0.7201, acc_cls:0.2377, mean_iu:0.1790, fwavacc:0.5535
 epoch:2, train_loss:1.0281, acc:0.7474, acc_cls:0.3063, mean_iu:0.2360, fwavacc:0.5958
 epoch:2, val_loss:0.9744, acc:0.7469, acc_cls:0.3240, mean_iu:0.2507, fwavacc:0.5949
 epoch:3, train_loss:0.8834, acc:0.7705, acc_cls:0.3755, mean_iu:0.2965, fwavacc:0.6270
 epoch:3, val_loss:0.8796, acc:0.7622, acc_cls:0.3677, mean_iu:0.2913, fwavacc:0.6139
 epoch:4, train_loss:0.8080, acc:0.7827, acc_cls:0.4055, mean_iu:0.3241, fwavacc:0.6443
 epoch:4, val_loss:0.8188, acc:0.7707, acc_cls:0.4081, mean_iu:0.3215, fwavacc:0.6287
 epoch:5, train_loss:0.7585, acc:0.7912, acc_cls:0.4361, mean_iu:0.3509, fwavacc:0.6569
 epoch:5, val_loss:0.8080, acc:0.7734, acc_cls:0.4266, mean_iu:0.3326, fwavacc:0.6354
 epoch:6, train_loss:0.7273, acc:0.7961, acc_cls:0.4486, mean_iu:0.3630, fwavacc:0.6637
 epoch:6, val_loss:0.7580, acc:0.7836, acc_cls:0.4379, mean_iu:0.3543, fwavacc:0.6447
 epoch:7, train_loss:0.6978, acc:0.8016, acc_cls:0.4712, mean_iu:0.3833, fwavacc:0.6716
 epoch:7, val_loss:0.7162, acc:0.7948, acc_cls:0.4807, mean_iu:0.3841, fwavacc:0.6645
 epoch:8, train_loss:0.6784, acc:0.8038, acc_cls:0.4846, mean_iu:0.3940, fwavacc:0.6753
 epoch:8, val_loss:0.7487, acc:0.7860, acc_cls:0.4276, mean_iu:0.3529, fwavacc:0.6447
 epoch:9, train_loss:0.6612, acc:0.8084, acc_cls:0.4931, mean_iu:0.4041, fwavacc:0.6812
 epoch:9, val_loss:0.7317, acc:0.7866, acc_cls:0.4491, mean_iu:0.3726, fwavacc:0.6458
 epoch:10, train_loss:0.6477, acc:0.8103, acc_cls:0.5016, mean_iu:0.4121, fwavacc:0.6841
 epoch:10, val_loss:0.7160, acc:0.7872, acc_cls:0.4696, mean_iu:0.3724, fwavacc:0.6519
 epoch:11, train_loss:0.6354, acc:0.8127, acc_cls:0.5093, mean_iu:0.4192, fwavacc:0.6873
 epoch:11, val_loss:0.7210, acc:0.7852, acc_cls:0.4493, mean_iu:0.3670, fwavacc:0.6453
 epoch:12, train_loss:0.6263, acc:0.8142, acc_cls:0.5187, mean_iu:0.4280, fwavacc:0.6893
 epoch:12, val_loss:0.7016, acc:0.7910, acc_cls:0.4751, mean_iu:0.3851, fwavacc:0.6569
 epoch:13, train_loss:0.6085, acc:0.8179, acc_cls:0.5245, mean_iu:0.4340, fwavacc:0.6947
 epoch:13, val_loss:0.6895, acc:0.7911, acc_cls:0.4763, mean_iu:0.3840, fwavacc:0.6567
 epoch:14, train_loss:0.6014, acc:0.8197, acc_cls:0.5310, mean_iu:0.4407, fwavacc:0.6972
 epoch:14, val_loss:0.6884, acc:0.7941, acc_cls:0.4834, mean_iu:0.3881, fwavacc:0.6626
 epoch:15, train_loss:0.5926, acc:0.8223, acc_cls:0.5389, mean_iu:0.4480, fwavacc:0.7010
